instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size
ring6,0,1,sabre,17,256,QAOA_p2,3.046875,82,145
ring6,0,1,sabre,18,256,QAOA_p2,2.9921875,82,145
ring6,0,1,sabre,19,256,QAOA_p2,3.046875,82,145
ring6,0,1,sabre,0,1024,QAOA_p2,3.015625,82,145
ring6,0,1,sabre,1,1024,QAOA_p2,3.05859375,82,145
ring6,0,1,sabre,2,1024,QAOA_p2,3.09375,82,145
ring6,0,1,sabre,3,1024,QAOA_p2,3.080078125,82,145
ring6,0,1,sabre,4,1024,QAOA_p2,3.041015625,82,145
ring6,0,1,sabre,5,1024,QAOA_p2,3.015625,82,145
ring6,0,1,sabre,6,1024,QAOA_p2,3.05859375,82,145
ring6,0,1,sabre,7,1024,QAOA_p2,3.0546875,82,145
ring6,0,1,sabre,8,1024,QAOA_p2,3.162109375,82,145
ring6,0,1,sabre,9,1024,QAOA_p2,3.130859375,82,145
ring6,0,1,sabre,10,1024,QAOA_p2,3.013671875,82,145
ring6,0,1,sabre,11,1024,QAOA_p2,3.001953125,82,145
ring6,0,1,sabre,12,1024,QAOA_p2,3.015625,82,145
ring6,0,1,sabre,13,1024,QAOA_p2,3.08984375,82,145
ring6,0,1,sabre,14,1024,QAOA_p2,3.08203125,82,145
ring6,0,1,sabre,15,1024,QAOA_p2,3.072265625,82,145
ring6,0,1,sabre,16,1024,QAOA_p2,3.046875,82,145
ring6,0,1,sabre,17,1024,QAOA_p2,3.095703125,82,145
ring6,0,1,sabre,18,1024,QAOA_p2,3.0390625,82,145
ring6,0,1,sabre,19,1024,QAOA_p2,3.0078125,82,145
ring6,0,1,sabre,0,16,RandomBaseline,2.625,4,24
ring6,0,1,sabre,1,16,RandomBaseline,3.125,4,24
ring6,0,1,sabre,2,16,RandomBaseline,3.375,4,24
ring6,0,1,sabre,3,16,RandomBaseline,2.875,4,24
ring6,0,1,sabre,4,16,RandomBaseline,2.75,4,24
ring6,0,1,sabre,5,16,RandomBaseline,2.5,4,24
ring6,0,1,sabre,6,16,RandomBaseline,3.125,4,24
ring6,0,1,sabre,7,16,RandomBaseline,3.125,4,24
ring6,0,1,sabre,8,16,RandomBaseline,2.75,4,24
ring6,0,1,sabre,9,16,RandomBaseline,2.75,4,24
ring6,0,1,sabre,10,16,RandomBaseline,2.75,4,24
ring6,0,1,sabre,11,16,RandomBaseline,2.625,4,24
ring6,0,1,sabre,12,16,RandomBaseline,2.875,4,24
ring6,0,1,sabre,13,16,RandomBaseline,2.5,4,24
ring6,0,1,sabre,14,16,RandomBaseline,3.0,4,24
ring6,0,1,sabre,15,16,RandomBaseline,2.875,4,24
ring6,0,1,sabre,16,16,RandomBaseline,2.375,4,24
ring6,0,1,sabre,17,16,RandomBaseline,2.5,4,24
ring6,0,1,sabre,18,16,RandomBaseline,2.875,4,24
ring6,0,1,sabre,19,16,RandomBaseline,3.25,4,24
ring6,0,1,sabre,0,32,RandomBaseline,2.75,4,24
ring6,0,1,sabre,1,32,RandomBaseline,3.0,4,24
ring6,0,1,sabre,2,32,RandomBaseline,3.125,4,24
ring6,0,1,sabre,3,32,RandomBaseline,3.125,4,24
ring6,0,1,sabre,4,32,RandomBaseline,2.8125,4,24
ring6,0,1,sabre,5,32,RandomBaseline,2.5625,4,24
ring6,0,1,sabre,6,32,RandomBaseline,2.9375,4,24
ring6,0,1,sabre,7,32,RandomBaseline,2.8125,4,24
ring6,0,1,sabre,8,32,RandomBaseline,2.8125,4,24
ring6,0,1,sabre,9,32,RandomBaseline,2.875,4,24
ring6,0,1,sabre,10,32,RandomBaseline,2.9375,4,24
ring6,0,1,sabre,11,32,RandomBaseline,3.0,4,24
ring6,0,1,sabre,12,32,RandomBaseline,3.0625,4,24
ring6,0,1,sabre,13,32,RandomBaseline,2.5,4,24
ring6,0,1,sabre,14,32,RandomBaseline,3.0625,4,24
ring6,0,1,sabre,15,32,RandomBaseline,3.125,4,24
ring6,0,1,sabre,16,32,RandomBaseline,2.9375,4,24
ring6,0,1,sabre,17,32,RandomBaseline,2.5625,4,24
ring6,0,1,sabre,18,32,RandomBaseline,2.875,4,24
ring6,0,1,sabre,19,32,RandomBaseline,3.3125,4,24
ring6,0,1,sabre,0,64,RandomBaseline,2.96875,4,24
ring6,0,1,sabre,1,64,RandomBaseline,3.0,4,24
ring6,0,1,sabre,2,64,RandomBaseline,3.1875,4,24
ring6,0,1,sabre,3,64,RandomBaseline,3.09375,4,24
ring6,0,1,sabre,4,64,RandomBaseline,2.90625,4,24
ring6,0,1,sabre,5,64,RandomBaseline,2.78125,4,24
ring6,0,1,sabre,6,64,RandomBaseline,2.9375,4,24
ring6,0,1,sabre,7,64,RandomBaseline,2.78125,4,24
ring6,0,1,sabre,8,64,RandomBaseline,2.84375,4,24
ring6,0,1,sabre,9,64,RandomBaseline,2.96875,4,24
ring6,0,1,sabre,10,64,RandomBaseline,3.0,4,24
ring6,0,1,sabre,11,64,RandomBaseline,3.0625,4,24
ring6,0,1,sabre,12,64,RandomBaseline,3.09375,4,24
ring6,0,1,sabre,13,64,RandomBaseline,2.78125,4,24
ring6,0,1,sabre,14,64,RandomBaseline,3.03125,4,24
ring6,0,1,sabre,15,64,RandomBaseline,3.09375,4,24
ring6,0,1,sabre,16,64,RandomBaseline,2.9375,4,24
ring6,0,1,sabre,17,64,RandomBaseline,3.0,4,24
ring6,0,1,sabre,18,64,RandomBaseline,3.0,4,24
ring6,0,1,sabre,19,64,RandomBaseline,3.0,4,24
ring6,0,1,sabre,0,256,RandomBaseline,2.90625,4,24
ring6,0,1,sabre,1,256,RandomBaseline,2.984375,4,24
ring6,0,1,sabre,2,256,RandomBaseline,2.9296875,4,24
ring6,0,1,sabre,3,256,RandomBaseline,3.1796875,4,24
ring6,0,1,sabre,4,256,RandomBaseline,3.0,4,24
ring6,0,1,sabre,5,256,RandomBaseline,2.875,4,24
ring6,0,1,sabre,6,256,RandomBaseline,2.984375,4,24
ring6,0,1,sabre,7,256,RandomBaseline,3.0078125,4,24
ring6,0,1,sabre,8,256,RandomBaseline,2.9765625,4,24
ring6,0,1,sabre,9,256,RandomBaseline,3.0078125,4,24
ring6,0,1,sabre,10,256,RandomBaseline,2.984375,4,24
ring6,0,1,sabre,11,256,RandomBaseline,2.9609375,4,24
ring6,0,1,sabre,12,256,RandomBaseline,2.8671875,4,24
ring6,0,1,sabre,13,256,RandomBaseline,2.96875,4,24
ring6,0,1,sabre,14,256,RandomBaseline,2.9921875,4,24
ring6,0,1,sabre,15,256,RandomBaseline,3.09375,4,24
ring6,0,1,sabre,16,256,RandomBaseline,2.921875,4,24
ring6,0,1,sabre,17,256,RandomBaseline,3.015625,4,24
