suite,space_preset,instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size
day2_large,compilation_only,ring6,0,1,sabre,0,1024,QAOA_p2,3.015625,82,145
day2_large,compilation_only,ring6,0,2,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,0,2,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,0,3,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,0,3,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,1,0,trivial,0,1024,QAOA_p2,3.095703125,81,150
day2_large,compilation_only,ring6,1,0,sabre,0,1024,QAOA_p2,3.015625,84,147
day2_large,compilation_only,ring6,1,1,trivial,0,1024,QAOA_p2,3.015625,80,156
day2_large,compilation_only,ring6,1,1,sabre,0,1024,QAOA_p2,3.015625,82,145
day2_large,compilation_only,ring6,1,2,trivial,0,1024,QAOA_p2,3.099609375,83,164
day2_large,compilation_only,ring6,1,2,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,1,3,trivial,0,1024,QAOA_p2,3.099609375,83,164
day2_large,compilation_only,ring6,1,3,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,2,0,trivial,0,1024,QAOA_p2,3.095703125,81,150
day2_large,compilation_only,ring6,2,0,sabre,0,1024,QAOA_p2,3.134765625,84,147
day2_large,compilation_only,ring6,2,1,trivial,0,1024,QAOA_p2,3.07421875,81,153
day2_large,compilation_only,ring6,2,1,sabre,0,1024,QAOA_p2,3.015625,82,145
day2_large,compilation_only,ring6,2,2,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,2,2,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,2,3,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,2,3,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,3,0,trivial,0,1024,QAOA_p2,3.099609375,84,150
day2_large,compilation_only,ring6,3,0,sabre,0,1024,QAOA_p2,3.134765625,84,147
day2_large,compilation_only,ring6,3,1,trivial,0,1024,QAOA_p2,3.015625,82,145
day2_large,compilation_only,ring6,3,1,sabre,0,1024,QAOA_p2,3.134765625,82,145
day2_large,compilation_only,ring6,3,2,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,3,2,sabre,0,1024,QAOA_p2,3.134765625,87,169
day2_large,compilation_only,ring6,3,3,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,3,3,sabre,0,1024,QAOA_p2,3.134765625,87,169
day2_large,compilation_only,ring6,4,0,trivial,0,1024,QAOA_p2,3.134765625,81,153
day2_large,compilation_only,ring6,4,0,sabre,0,1024,QAOA_p2,3.134765625,84,147
day2_large,compilation_only,ring6,4,1,trivial,0,1024,QAOA_p2,3.095703125,79,148
day2_large,compilation_only,ring6,4,1,sabre,0,1024,QAOA_p2,3.134765625,82,145
day2_large,compilation_only,ring6,4,2,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,4,2,sabre,0,1024,QAOA_p2,3.134765625,87,169
day2_large,compilation_only,ring6,4,3,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,4,3,sabre,0,1024,QAOA_p2,3.134765625,87,169
day2_large,compilation_only,ring6,5,0,trivial,0,1024,QAOA_p2,3.0703125,67,153
day2_large,compilation_only,ring6,5,0,sabre,0,1024,QAOA_p2,3.134765625,84,147
day2_large,compilation_only,ring6,5,1,trivial,0,1024,QAOA_p2,3.099609375,82,148
day2_large,compilation_only,ring6,5,1,sabre,0,1024,QAOA_p2,3.134765625,82,145
day2_large,compilation_only,ring6,5,2,trivial,0,1024,QAOA_p2,3.099609375,83,164
day2_large,compilation_only,ring6,5,2,sabre,0,1024,QAOA_p2,3.134765625,87,169
day2_large,compilation_only,ring6,5,3,trivial,0,1024,QAOA_p2,3.099609375,83,164
day2_large,compilation_only,ring6,5,3,sabre,0,1024,QAOA_p2,3.134765625,87,169
day2_large,compilation_only,ring6,6,0,trivial,0,1024,QAOA_p2,3.095703125,81,150
day2_large,compilation_only,ring6,6,0,sabre,0,1024,QAOA_p2,3.015625,84,147
day2_large,compilation_only,ring6,6,1,trivial,0,1024,QAOA_p2,3.015625,82,145
day2_large,compilation_only,ring6,6,1,sabre,0,1024,QAOA_p2,3.015625,82,145
day2_large,compilation_only,ring6,6,2,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,6,2,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,6,3,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,6,3,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,7,0,trivial,0,1024,QAOA_p2,3.134765625,81,153
day2_large,compilation_only,ring6,7,0,sabre,0,1024,QAOA_p2,3.134765625,84,147
day2_large,compilation_only,ring6,7,1,trivial,0,1024,QAOA_p2,3.099609375,82,148
day2_large,compilation_only,ring6,7,1,sabre,0,1024,QAOA_p2,3.134765625,82,145
day2_large,compilation_only,ring6,7,2,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,7,2,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,7,3,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,7,3,sabre,0,1024,QAOA_p2,3.015625,86,166
day2_large,compilation_only,ring6,8,0,trivial,0,1024,QAOA_p2,3.0703125,69,153
day2_large,compilation_only,ring6,8,0,sabre,0,1024,QAOA_p2,3.134765625,84,147
day2_large,compilation_only,ring6,8,1,trivial,0,1024,QAOA_p2,3.095703125,79,148
day2_large,compilation_only,ring6,8,1,sabre,0,1024,QAOA_p2,3.134765625,82,145
day2_large,compilation_only,ring6,8,2,trivial,0,1024,QAOA_p2,3.095703125,80,164
day2_large,compilation_only,ring6,8,2,sabre,0,1024,QAOA_p2,3.134765625,87,169
day2_large,compilation_only,ring6,8,3,trivial,0,1024,QAOA_p2,3.095703125,80,164
day2_large,compilation_only,ring6,8,3,sabre,0,1024,QAOA_p2,3.134765625,87,169
day2_large,compilation_only,ring6,9,0,trivial,0,1024,QAOA_p2,3.083984375,84,153
day2_large,compilation_only,ring6,9,0,sabre,0,1024,QAOA_p2,3.134765625,84,147
day2_large,compilation_only,ring6,9,1,trivial,0,1024,QAOA_p2,3.07421875,81,153
day2_large,compilation_only,ring6,9,1,sabre,0,1024,QAOA_p2,3.134765625,82,145
day2_large,compilation_only,ring6,9,2,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,9,2,sabre,0,1024,QAOA_p2,3.015625,82,160
day2_large,compilation_only,ring6,9,3,trivial,0,1024,QAOA_p2,3.015625,83,162
day2_large,compilation_only,ring6,9,3,sabre,0,1024,QAOA_p2,3.015625,82,160
day2_large,compilation_only,ring6,0,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,0,0,sabre,0,1024,RandomBaseline,2.96484375,4,24
day2_large,compilation_only,ring6,0,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,0,1,sabre,0,1024,RandomBaseline,2.96484375,4,24
day2_large,compilation_only,ring6,0,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,0,2,sabre,0,1024,RandomBaseline,2.96484375,4,24
day2_large,compilation_only,ring6,0,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,0,3,sabre,0,1024,RandomBaseline,2.96484375,4,24
day2_large,compilation_only,ring6,1,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,1,0,sabre,0,1024,RandomBaseline,3.029296875,4,24
day2_large,compilation_only,ring6,1,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,1,1,sabre,0,1024,RandomBaseline,3.029296875,4,24
day2_large,compilation_only,ring6,1,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,1,2,sabre,0,1024,RandomBaseline,3.029296875,4,24
day2_large,compilation_only,ring6,1,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,1,3,sabre,0,1024,RandomBaseline,3.029296875,4,24
day2_large,compilation_only,ring6,2,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,2,0,sabre,0,1024,RandomBaseline,3.06640625,4,24
day2_large,compilation_only,ring6,2,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,2,1,sabre,0,1024,RandomBaseline,3.06640625,4,24
day2_large,compilation_only,ring6,2,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,2,2,sabre,0,1024,RandomBaseline,3.06640625,4,24
day2_large,compilation_only,ring6,2,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,2,3,sabre,0,1024,RandomBaseline,3.06640625,4,24
day2_large,compilation_only,ring6,3,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,3,0,sabre,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,3,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,3,1,sabre,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,3,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,3,2,sabre,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,3,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,3,3,sabre,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,4,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,4,0,sabre,0,1024,RandomBaseline,3.009765625,4,24
day2_large,compilation_only,ring6,4,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,4,1,sabre,0,1024,RandomBaseline,3.009765625,4,24
day2_large,compilation_only,ring6,4,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,4,2,sabre,0,1024,RandomBaseline,3.009765625,4,24
day2_large,compilation_only,ring6,4,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,4,3,sabre,0,1024,RandomBaseline,3.009765625,4,24
day2_large,compilation_only,ring6,5,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,5,0,sabre,0,1024,RandomBaseline,2.95703125,4,24
day2_large,compilation_only,ring6,5,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,5,1,sabre,0,1024,RandomBaseline,2.95703125,4,24
day2_large,compilation_only,ring6,5,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,5,2,sabre,0,1024,RandomBaseline,2.95703125,4,24
day2_large,compilation_only,ring6,5,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,5,3,sabre,0,1024,RandomBaseline,2.95703125,4,24
day2_large,compilation_only,ring6,6,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,6,0,sabre,0,1024,RandomBaseline,3.00390625,4,24
day2_large,compilation_only,ring6,6,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,6,1,sabre,0,1024,RandomBaseline,3.00390625,4,24
day2_large,compilation_only,ring6,6,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,6,2,sabre,0,1024,RandomBaseline,3.00390625,4,24
day2_large,compilation_only,ring6,6,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,6,3,sabre,0,1024,RandomBaseline,3.00390625,4,24
day2_large,compilation_only,ring6,7,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,7,0,sabre,0,1024,RandomBaseline,3.029296875,4,24
day2_large,compilation_only,ring6,7,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,7,1,sabre,0,1024,RandomBaseline,3.029296875,4,24
day2_large,compilation_only,ring6,7,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,7,2,sabre,0,1024,RandomBaseline,3.029296875,4,24
day2_large,compilation_only,ring6,7,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,7,3,sabre,0,1024,RandomBaseline,3.029296875,4,24
day2_large,compilation_only,ring6,8,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
